Job Title,Skills
Corporate Communications Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Service Delivery Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Client Relationship Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Territory Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Area Sales Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Business Operations Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Presales Consultant (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Solutions Consultant (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Process Excellence Analyst (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Change Management Consultant (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Customer Experience Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Strategic Planning Analyst (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Portfolio Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Product Marketing Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Operations Analyst (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Market Intelligence Analyst (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Enterprise Account Manager (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Sales Operations Analyst (MBA),"Relevant domain skills, Communication, Excel, Analysis, Reporting"

Financial Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Investment Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Equity Research Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Credit Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Risk Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Treasury Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Corporate Finance Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Investment Banking Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Financial Planning Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Wealth Manager (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Portfolio Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Credit Risk Manager (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Fund Accountant (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tax Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Internal Auditor (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
External Auditor (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Budget Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Cost Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Revenue Assurance Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Financial Controller (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Mergers and Acquisitions Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Private Equity Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Venture Capital Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Treasury Manager (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Forex Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Insurance Underwriter (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Claims Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Compliance Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
AML Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
KYC Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Relationship Manager Banking (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Commercial Banking Officer (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Retail Banking Officer (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Corporate Banking Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Trade Finance Executive (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Financial Reporting Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Cash Management Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Investment Advisor (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Loan Officer (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Mortgage Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Derivatives Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Securities Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Asset Management Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Fraud Risk Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Credit Operations Executive (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Finance Business Partner (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Accounts Payable Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Accounts Receivable Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Payroll Analyst (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Corporate Treasury Associate (MBA Finance),"Relevant domain skills, Communication, Excel, Analysis, Reporting"

HR Executive (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
HR Generalist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
HR Business Partner (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Talent Acquisition Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Recruitment Consultant (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Compensation Analyst (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Benefits Administrator (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Learning and Development Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Training Coordinator (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Employee Relations Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Performance Management Analyst (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
HR Operations Executive (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Workforce Planning Analyst (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Organizational Development Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Talent Management Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
HR Compliance Officer (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Payroll Executive (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
HRIS Analyst (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Employee Engagement Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Diversity and Inclusion Coordinator (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Leadership Development Manager (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
People Analytics Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Campus Recruiter (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Technical Recruiter (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Executive Recruiter (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Staffing Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Career Development Advisor (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Succession Planning Analyst (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Compensation Manager (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Rewards Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Labor Relations Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
HR Shared Services Executive (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Onboarding Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Employer Branding Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
People Operations Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Training Manager (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
HR Project Coordinator (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Culture and Engagement Manager (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Mobility Specialist (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Workforce Analyst (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
HR Coordinator (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Personnel Officer (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Human Capital Analyst (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Learning Consultant (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Recruitment Manager (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Talent Acquisition Manager (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Employee Experience Manager (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
HR Advisor (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Benefits Coordinator (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
People Partner (MBA HRM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"


Travel Consultant (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tour Manager (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Destination Manager (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Operations Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Holiday Consultant (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Coordinator (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tour Planner (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Desk Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Reservation Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Ticketing Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Airline Customer Service Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Airport Operations Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Cruise Coordinator (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Sales Consultant (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
MICE Coordinator (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Event and Tourism Coordinator (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tourism Marketing Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Hospitality Coordinator (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Guest Relations Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Product Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Visa Processing Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Corporate Travel Consultant (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Leisure Travel Advisor (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Inbound Tour Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Outbound Tour Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Support Specialist (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Hotel Reservations Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Experience Manager (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Destination Marketing Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tour Package Designer (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Account Manager (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Adventure Tourism Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Content Specialist (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Relationship Manager (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Hospitality Operations Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Procurement Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Partnership Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tour Guide Coordinator (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Revenue Analyst (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tour Operations Manager (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Airline Reservations Agent (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Program Coordinator (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Quality Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Services Executive (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Convention Coordinator (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Marketing Manager (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tourism Development Officer (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Guest Experience Manager (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Planner (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Travel Consultant Corporate (MBA TTM),"Relevant domain skills, Communication, Excel, Analysis, Reporting"


Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Senior Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Accounts Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tax Consultant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
GST Consultant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Cost Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Management Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Internal Auditor (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Audit Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Financial Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Accounts Payable Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Accounts Receivable Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Payroll Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Bookkeeper (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tax Analyst (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Financial Reporting Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Budget Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Treasury Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Compliance Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Credit Control Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Billing Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Revenue Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Inventory Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Fund Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Corporate Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Assistant Finance Manager (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Bank Reconciliation Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Indirect Tax Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Direct Tax Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
MIS Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Accounting Analyst (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Finance Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Accounts Officer (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Commercial Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Cash Management Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Expense Analyst (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
General Ledger Accountant (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Junior Auditor (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Statutory Auditor (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Risk Compliance Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Trade Finance Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Financial Operations Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Cost Control Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Receivables Manager (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Payables Manager (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Accounting Supervisor (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Tax Compliance Officer (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Financial Documentation Executive (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Credit Administration Officer (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"
Accounts Coordinator (MCom),"Relevant domain skills, Communication, Excel, Analysis, Reporting"

Content Writer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Journalist (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Editor (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Copywriter (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Technical Writer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Public Relations Executive (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Media Planner (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Communication Specialist (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Policy Analyst (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Research Associate (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Academic Counselor (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Career Counselor (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Language Specialist (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Translator (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Proofreader (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Social Media Manager (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Content Strategist (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Digital Content Manager (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Instructional Designer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Corporate Trainer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Public Affairs Officer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Community Outreach Coordinator (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Cultural Program Manager (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Archivist (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Museum Curator (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Publishing Executive (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Script Writer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Radio Presenter (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
News Anchor (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Creative Director (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Advertising Copywriter (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Brand Communication Executive (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Speech Writer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Linguist (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Documentation Specialist (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Survey Researcher (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Political Research Analyst (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
NGO Program Coordinator (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Education Consultant (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Learning Consultant (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Event Coordinator (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Corporate Communication Manager (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Media Relations Officer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Public Information Officer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Grant Writer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Research Interviewer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Training Coordinator (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Knowledge Management Executive (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Development Communication Officer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Curriculum Developer (MA),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"


Social Worker (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Case Manager (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Community Development Officer (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
NGO Program Officer (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Child Welfare Officer (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Family Counselor (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Rehabilitation Counselor (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Mental Health Counselor (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
School Social Worker (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Medical Social Worker (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Community Outreach Worker (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Program Coordinator (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Livelihood Officer (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Women Empowerment Coordinator (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
Youth Development Officer (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
CSR Executive (MSW),"Domain Knowledge, Communication, MS Excel, Reporting, Problem Solving"
